experiment_id,scenario,sampled_at,sampled_at_ms,elapsed_ms,elapsed_source,approximate_visible,approximate_not_visible,sample_status,sample_error
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:26.138Z,1783790066138,-152,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:26.306Z,1783790066306,165,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:27.14Z,1783790067140,850,first_a_sqs_sent_timestamp,3697,35,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:27.172Z,1783790067172,1031,first_a_sqs_sent_timestamp,74,38,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:28.139Z,1783790068139,1849,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:28.168Z,1783790068168,2027,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:29.137Z,1783790069137,2847,first_a_sqs_sent_timestamp,4971,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:29.164Z,1783790069164,3023,first_a_sqs_sent_timestamp,0,4,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:30.139Z,1783790070139,3849,first_a_sqs_sent_timestamp,3697,35,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:30.164Z,1783790070164,4023,first_a_sqs_sent_timestamp,4964,27,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:31.137Z,1783790071137,4847,first_a_sqs_sent_timestamp,4971,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:31.162Z,1783790071162,5021,first_a_sqs_sent_timestamp,0,0,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:32.14Z,1783790072140,5850,first_a_sqs_sent_timestamp,0,0,ok,
