experiment_id,scenario,sampled_at,sampled_at_ms,approximate_visible,approximate_not_visible,sample_status,sample_error
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:26.138507369Z,1783790066138,0,0,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:26.306501446Z,1783790066306,0,0,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:27.14075919Z,1783790067140,3697,35,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:27.172477688Z,1783790067172,74,38,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:28.139388929Z,1783790068139,0,0,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:28.168548644Z,1783790068168,0,0,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:29.137788623Z,1783790069137,4971,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:29.164493369Z,1783790069164,0,4,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:30.139798874Z,1783790070139,3697,35,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:30.164718435Z,1783790070164,4964,27,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:31.137275596Z,1783790071137,4971,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:31.162911627Z,1783790071162,0,0,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:32.140013679Z,1783790072140,0,0,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:32.166123468Z,1783790072166,4966,34,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:33.14471217Z,1783790073144,0,0,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:33.177837735Z,1783790073177,4964,27,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:34.138795108Z,1783790074138,4955,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:34.166414425Z,1783790074166,4967,13,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:35.136634975Z,1783790075136,0,0,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:35.163770343Z,1783790075163,0,0,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:36.140548045Z,1783790076140,0,0,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:36.166428264Z,1783790076166,4964,27,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:37.138138445Z,1783790077138,3697,35,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:37.167158597Z,1783790077167,4966,34,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:38.136951776Z,1783790078136,4945,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:38.165062371Z,1783790078165,4952,8,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:39.139717208Z,1783790079139,4971,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:39.166539095Z,1783790079166,74,38,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:40.141426104Z,1783790080141,4945,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:40.168987177Z,1783790080168,4967,13,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:41.137627652Z,1783790081137,4955,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:41.166350412Z,1783790081166,0,0,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:42.138979187Z,1783790082138,4943,15,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:42.165525172Z,1783790082165,4952,8,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:43.139093741Z,1783790083139,4901,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:43.164224966Z,1783790083164,4920,20,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:44.146331384Z,1783790084146,4915,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:44.186211331Z,1783790084186,4946,14,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:45.141046357Z,1783790085141,4932,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:45.169678056Z,1783790085169,4905,19,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:46.140362338Z,1783790086140,4882,20,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:46.167560745Z,1783790086167,4921,20,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:47.136384662Z,1783790087136,4916,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:47.164009998Z,1783790087164,4891,19,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:48.142580586Z,1783790088142,4910,16,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:48.170070121Z,1783790088170,4905,21,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:49.143153651Z,1783790089143,4866,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:49.173308829Z,1783790089173,4914,15,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:50.138661003Z,1783790090138,4923,15,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:50.163251967Z,1783790090163,4880,14,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:51.137602551Z,1783790091137,4964,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:51.165479657Z,1783790091165,4936,22,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:52.13744376Z,1783790092137,4902,21,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:52.16375631Z,1783790092163,4860,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:53.138507414Z,1783790093138,4867,13,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:53.163075492Z,1783790093163,4891,21,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:54.141170983Z,1783790094141,4866,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:54.166816494Z,1783790094166,4868,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:55.136638358Z,1783790095136,4845,13,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:55.164469056Z,1783790095164,4860,18,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:56.140143199Z,1783790096140,4826,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:56.171600826Z,1783790096171,4830,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:57.137912011Z,1783790097137,4838,17,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:57.163799664Z,1783790097163,4828,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:58.13677029Z,1783790098136,4851,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:58.16404432Z,1783790098164,4920,20,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:14:59.13831816Z,1783790099138,4844,15,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:14:59.163339159Z,1783790099163,4828,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:00.135802321Z,1783790100135,4798,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:00.167082246Z,1783790100167,4829,18,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:01.139746276Z,1783790101139,4881,21,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:01.167227102Z,1783790101167,4880,15,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:02.137979672Z,1783790102137,4798,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:02.16654925Z,1783790102166,4846,18,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:03.136602255Z,1783790103136,4800,17,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:03.163727182Z,1783790103163,4777,15,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:04.138478246Z,1783790104138,4838,15,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:04.168131076Z,1783790104168,4804,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:05.138547574Z,1783790105138,4799,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:05.165912422Z,1783790105165,4777,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:06.138004529Z,1783790106138,4792,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:06.163282817Z,1783790106163,4791,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:07.136141743Z,1783790107136,4752,17,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:07.161636038Z,1783790107161,4784,15,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:08.144259255Z,1783790108144,4751,17,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:08.172831191Z,1783790108172,4764,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:09.142041617Z,1783790109142,4752,21,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:09.168811605Z,1783790109168,4763,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:10.142721561Z,1783790110142,4779,16,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:10.170841253Z,1783790110170,4752,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:11.138582259Z,1783790111138,4752,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:11.16662796Z,1783790111166,4779,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:12.139362274Z,1783790112139,4871,16,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:12.167323692Z,1783790112167,4726,18,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:13.1397536Z,1783790113139,4709,15,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:13.169945701Z,1783790113169,4725,19,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:14.139887424Z,1783790114139,4746,17,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:14.166054346Z,1783790114166,4745,14,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:15.153770095Z,1783790115153,4714,16,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:15.180246354Z,1783790115180,4753,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:16.136856759Z,1783790116136,4714,15,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:16.163358727Z,1783790116163,4720,14,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:17.139566635Z,1783790117139,4762,19,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:17.165522568Z,1783790117165,4699,20,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:18.138310475Z,1783790118138,4759,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:18.164297182Z,1783790118164,4695,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:19.137610953Z,1783790119137,4709,14,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:19.163267211Z,1783790119163,4763,16,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:20.139116828Z,1783790120139,4664,18,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:20.164120461Z,1783790120164,4694,20,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:21.138042846Z,1783790121138,4698,15,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:21.165628091Z,1783790121165,4669,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:22.137891667Z,1783790122137,4664,17,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:22.163986993Z,1783790122163,4668,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:23.143657463Z,1783790123143,4651,16,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:23.169048223Z,1783790123169,4830,18,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:24.136966039Z,1783790124136,4714,17,ok,
low-concurrency-20260711T171232.521874981Z,fair-c20,2026-07-11T17:15:24.163831943Z,1783790124163,4725,17,ok,
low-concurrency-20260711T171232.521874981Z,baseline-c20,2026-07-11T17:15:25.13842092Z,1783790125138,4663,16,ok,
