experiment_id,scenario,sampled_at_ms,elapsed_ms,elapsed_source,a_handler_active,approximate_not_visible,count_share_proxy,a_count_at_least_30,share_proxy_above_10_percent,criteria_proxy_met,proxy_status
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799856609,-56,first_a_sqs_sent_timestamp,0,0,,false,false,false,no_in_flight
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799856753,100,first_a_sqs_sent_timestamp,12,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799857608,943,first_a_sqs_sent_timestamp,13,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799857639,986,first_a_sqs_sent_timestamp,13,4,3.250000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799858609,1944,first_a_sqs_sent_timestamp,13,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799858637,1984,first_a_sqs_sent_timestamp,13,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799859611,2946,first_a_sqs_sent_timestamp,13,29,0.448276,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799859643,2990,first_a_sqs_sent_timestamp,15,10,1.500000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799860610,3945,first_a_sqs_sent_timestamp,15,0,,false,false,false,inconsistent_zero_denominator
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799860640,3987,first_a_sqs_sent_timestamp,15,56,0.267857,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799861611,4946,first_a_sqs_sent_timestamp,15,4,3.750000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799861640,4987,first_a_sqs_sent_timestamp,15,52,0.288462,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799862609,5944,first_a_sqs_sent_timestamp,13,18,0.722222,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799862638,5985,first_a_sqs_sent_timestamp,16,59,0.271186,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799863608,6943,first_a_sqs_sent_timestamp,16,50,0.320000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799863643,6990,first_a_sqs_sent_timestamp,16,69,0.231884,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799864610,7945,first_a_sqs_sent_timestamp,17,13,1.307692,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799864638,7985,first_a_sqs_sent_timestamp,17,65,0.261538,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799865609,8944,first_a_sqs_sent_timestamp,13,31,0.419355,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799865637,8984,first_a_sqs_sent_timestamp,18,69,0.260870,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799866610,9945,first_a_sqs_sent_timestamp,17,50,0.340000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799866637,9984,first_a_sqs_sent_timestamp,20,52,0.384615,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799867608,10943,first_a_sqs_sent_timestamp,17,13,1.307692,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799867639,10986,first_a_sqs_sent_timestamp,18,28,0.642857,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799868608,11943,first_a_sqs_sent_timestamp,19,40,0.475000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799868654,12001,first_a_sqs_sent_timestamp,20,28,0.714286,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799869609,12944,first_a_sqs_sent_timestamp,19,61,0.311475,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799869640,12987,first_a_sqs_sent_timestamp,17,69,0.246377,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799870611,13946,first_a_sqs_sent_timestamp,18,24,0.750000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799870639,13986,first_a_sqs_sent_timestamp,20,34,0.588235,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799871608,14943,first_a_sqs_sent_timestamp,18,19,0.947368,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799871636,14983,first_a_sqs_sent_timestamp,19,10,1.900000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799872610,15945,first_a_sqs_sent_timestamp,19,9,2.111111,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799872640,15987,first_a_sqs_sent_timestamp,16,18,0.888889,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799873610,16945,first_a_sqs_sent_timestamp,17,21,0.809524,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799873639,16986,first_a_sqs_sent_timestamp,18,14,1.285714,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799874611,17946,first_a_sqs_sent_timestamp,17,31,0.548387,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799874644,17991,first_a_sqs_sent_timestamp,15,19,0.789474,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799875609,18944,first_a_sqs_sent_timestamp,18,20,0.900000,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799875641,18988,first_a_sqs_sent_timestamp,18,21,0.857143,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799876610,19945,first_a_sqs_sent_timestamp,20,28,0.714286,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,fair-c20,1783799876642,19989,first_a_sqs_sent_timestamp,19,14,1.357143,false,true,false,ok
low-concurrency-20260711T195542.986124768Z,baseline-c20,1783799877609,20944,first_a_sqs_sent_timestamp,15,8,1.875000,false,true,false,ok
