experiment_id,scenario,sampled_at,sampled_at_ms,elapsed_ms,elapsed_source,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:43.451Z,1783784803451,266,first_a_sqs_sent_timestamp,0,20,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:43.486Z,1783784803486,303,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:44.45Z,1783784804450,1265,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:44.482Z,1783784804482,1299,first_a_sqs_sent_timestamp,57,17,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:45.456Z,1783784805456,2271,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:45.484Z,1783784805484,2301,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:46.449Z,1783784806449,3264,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:46.477Z,1783784806477,3294,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:47.457Z,1783784807457,4272,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:47.492Z,1783784807492,4309,first_a_sqs_sent_timestamp,0,20,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:48.463Z,1783784808463,5278,first_a_sqs_sent_timestamp,0,20,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:48.495Z,1783784808495,5312,first_a_sqs_sent_timestamp,6372,77,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:49.448Z,1783784809448,6263,first_a_sqs_sent_timestamp,18604,47,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:49.478Z,1783784809478,6295,first_a_sqs_sent_timestamp,12996,69,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:50.45Z,1783784810450,7265,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:50.479Z,1783784810479,7296,first_a_sqs_sent_timestamp,6372,77,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:51.453Z,1783784811453,8268,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:51.486Z,1783784811486,8303,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:52.45Z,1783784812450,9265,first_a_sqs_sent_timestamp,29792,87,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:52.512Z,1783784812512,9329,first_a_sqs_sent_timestamp,2201,76,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:53.451Z,1783784813451,10266,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:53.48Z,1783784813480,10297,first_a_sqs_sent_timestamp,29736,78,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:54.447Z,1783784814447,11262,first_a_sqs_sent_timestamp,29792,87,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:54.475Z,1783784814475,11292,first_a_sqs_sent_timestamp,29767,94,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:55.452Z,1783784815452,12267,first_a_sqs_sent_timestamp,18604,47,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:55.478Z,1783784815478,12295,first_a_sqs_sent_timestamp,29736,78,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:56.45Z,1783784816450,13265,first_a_sqs_sent_timestamp,29710,99,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:56.481Z,1783784816481,13298,first_a_sqs_sent_timestamp,12996,69,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:57.45Z,1783784817450,14265,first_a_sqs_sent_timestamp,29732,81,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:57.478Z,1783784817478,14295,first_a_sqs_sent_timestamp,0,0,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:58.451Z,1783784818451,15266,first_a_sqs_sent_timestamp,7003,86,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:58.479Z,1783784818479,15296,first_a_sqs_sent_timestamp,29596,94,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:59.451Z,1783784819451,16266,first_a_sqs_sent_timestamp,29732,81,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:59.482Z,1783784819482,16299,first_a_sqs_sent_timestamp,27948,94,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:00.455Z,1783784820455,17270,first_a_sqs_sent_timestamp,29792,87,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:00.485Z,1783784820485,17302,first_a_sqs_sent_timestamp,29767,94,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:01.466Z,1783784821466,18281,first_a_sqs_sent_timestamp,26974,71,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:01.499Z,1783784821499,18316,first_a_sqs_sent_timestamp,9811,50,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:02.447Z,1783784822447,19262,first_a_sqs_sent_timestamp,29453,99,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:02.473Z,1783784822473,19290,first_a_sqs_sent_timestamp,29596,94,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:03.45Z,1783784823450,20265,first_a_sqs_sent_timestamp,29559,89,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:03.479Z,1783784823479,20296,first_a_sqs_sent_timestamp,29638,93,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:04.454Z,1783784824454,21269,first_a_sqs_sent_timestamp,29711,110,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:04.485Z,1783784824485,21302,first_a_sqs_sent_timestamp,29400,65,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:05.45Z,1783784825450,22265,first_a_sqs_sent_timestamp,29366,82,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:05.477Z,1783784825477,22294,first_a_sqs_sent_timestamp,29501,95,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:06.467Z,1783784826467,23282,first_a_sqs_sent_timestamp,29503,86,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:06.496Z,1783784826496,23313,first_a_sqs_sent_timestamp,29400,74,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:07.464Z,1783784827464,24279,first_a_sqs_sent_timestamp,29535,108,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:07.491Z,1783784827491,24308,first_a_sqs_sent_timestamp,29524,108,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:08.451Z,1783784828451,25266,first_a_sqs_sent_timestamp,29560,100,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:08.483Z,1783784828483,25300,first_a_sqs_sent_timestamp,29269,96,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:09.45Z,1783784829450,26265,first_a_sqs_sent_timestamp,29455,107,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:09.484Z,1783784829484,26301,first_a_sqs_sent_timestamp,29400,74,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:10.451Z,1783784830451,27266,first_a_sqs_sent_timestamp,29241,100,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:10.484Z,1783784830484,27301,first_a_sqs_sent_timestamp,29736,92,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:11.449Z,1783784831449,28264,first_a_sqs_sent_timestamp,29679,73,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:11.479Z,1783784831479,28296,first_a_sqs_sent_timestamp,29501,95,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:12.45Z,1783784832450,29265,first_a_sqs_sent_timestamp,29240,89,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:12.481Z,1783784832481,29298,first_a_sqs_sent_timestamp,29449,89,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:13.449Z,1783784833449,30264,first_a_sqs_sent_timestamp,29290,101,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:13.48Z,1783784833480,30297,first_a_sqs_sent_timestamp,29269,96,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:47:14.448Z,1783784834448,31263,first_a_sqs_sent_timestamp,29170,81,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:47:14.476Z,1783784834476,31293,first_a_sqs_sent_timestamp,29188,51,ok,
