experiment_id,scenario,sampled_at,sampled_at_ms,approximate_visible,approximate_not_visible,sample_status,sample_error
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:43.451131087Z,1783784803451,0,20,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:43.486042665Z,1783784803486,0,0,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:44.450781398Z,1783784804450,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:44.482470749Z,1783784804482,57,17,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:45.456093466Z,1783784805456,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:45.484695926Z,1783784805484,0,0,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:46.44910958Z,1783784806449,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:46.477388719Z,1783784806477,0,0,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:47.457041302Z,1783784807457,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:47.492676757Z,1783784807492,0,20,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:48.463724377Z,1783784808463,0,20,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:48.495795131Z,1783784808495,6372,77,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:49.448550431Z,1783784809448,18604,47,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:49.47811875Z,1783784809478,12996,69,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:50.450330272Z,1783784810450,0,0,ok,
reaction-20260711T154617.431287445Z,fair-c100,2026-07-11T15:46:50.479927653Z,1783784810479,6372,77,ok,
reaction-20260711T154617.431287445Z,baseline-c100,2026-07-11T15:46:51.453100608Z,1783784811453,0,0,ok,
